order_id,order_date,customer_id,product_id,order_amount,quantity,customer_name,country,registration_date,product_name,category,price
1,31-01-2025,362,12,1020.6,2,Shannon Hoffman,Congo,19-05-2025,Curtains,Home,510.3
2,08-01-2025,254,11,905.8,4,David Gutierrez,Saint Lucia,03-07-2024,Dining Table,Home,226.45
3,04-11-2024,493,3,1411.4,5,Nicole Bush,Bahamas,04-07-2024,Tablet,Electronics,282.28
4,19-06-2025,462,8,288.21,3,Kenneth Taylor,Saint Barthelemy,13-02-2024,Shoes,Clothing,96.07
5,26-09-2024,96,4,230.98,1,Thomas Shaw,Argentina,06-02-2024,Smartwatch,Electronics,230.98
6,21-03-2025,446,14,413.7,2,Dalton Thompson,Gibraltar,04-09-2024,Non-Fiction,Books,206.85
7,30-11-2024,292,14,827.4,4,Rebecca Evans,Guatemala,26-10-2023,Non-Fiction,Books,206.85
8,27-07-2024,490,8,288.21,3,Andrea Gomez,Trinidad and Tobago,19-09-2023,Shoes,Clothing,96.07
9,06-12-2024,246,10,118.5,3,Christina Mora,Norway,11-08-2024,Lamp,Home,39.5
10,03-03-2025,33,15,1306.78,2,Valerie Hall,Vanuatu,13-06-2025,Comics,Books,653.39
11,05-07-2025,410,6,1359.86,2,Jimmy Olson,Bahamas,30-09-2023,Jeans,Clothing,679.93
12,20-12-2024,55,5,2217.33,3,Mr. Lucas Thomas,Netherlands,27-01-2025,T-Shirt,Clothing,739.11
13,26-02-2025,305,12,510.3,1,James Bowman,Dominican Republic,04-11-2023,Curtains,Home,510.3
14,29-03-2025,104,1,643.03,1,Jennifer Kerr,Saudi Arabia,17-04-2025,Smartphone,Electronics,643.03
15,06-03-2025,381,10,158,4,Christine Martin,Bolivia,24-02-2024,Lamp,Home,39.5
16,11-10-2024,124,1,643.03,1,Ms. Annette Jones,Sao Tome and Principe,20-08-2023,Smartphone,Electronics,643.03
17,03-03-2025,441,15,1960.17,3,Jessica Gonzalez,Algeria,12-01-2025,Comics,Books,653.39
18,31-10-2024,88,14,620.55,3,Amanda Grimes,Solomon Islands,07-02-2024,Non-Fiction,Books,206.85
19,24-09-2024,416,8,480.35,5,Jennifer Lewis,Rwanda,11-06-2025,Shoes,Clothing,96.07
20,23-08-2024,395,8,288.21,3,William Potts,Guernsey,14-08-2024,Shoes,Clothing,96.07
21,07-06-2025,93,15,653.39,1,Mary Harris,French Guiana,15-10-2023,Comics,Books,653.39
22,30-11-2024,58,11,905.8,4,Andrew Davis,Bermuda,14-03-2025,Dining Table,Home,226.45
23,23-07-2024,53,4,1154.9,5,Luis Foster,Italy,25-11-2023,Smartwatch,Electronics,230.98
24,16-08-2024,10,2,34.76,1,Jamie Wright,Estonia,22-03-2024,Laptop,Electronics,34.76
25,25-08-2024,307,10,158,4,Nicholas Ibarra,Guernsey,22-01-2025,Lamp,Home,39.5
26,01-12-2024,39,3,282.28,1,Jessica Hammond,Libyan Arab Jamahiriya,22-02-2025,Tablet,Electronics,282.28
27,13-04-2025,37,9,2138.5,5,Dr. Tyler Orr,Costa Rica,03-04-2024,Sofa,Home,427.7
